file,language,start_ms,end_ms,dur_ms
GH005,Twi,36150,36601,451
GH005,Twi,37671,37987,316
GH005,Twi,38671,38720,49
GH005,English,38720,39237,517
GH005,Twi,39237,41947,2710
GH005,Twi,42519,43727,1208
GH005,Twi,44187,44751,564
GH005,Twi,45415,46976,1561
GH005,Twi,47753,48560,807
GH005,Twi,51395,52660,1265
GH005,English,52660,59760,7100
GH005,Twi,60393,62285,1892
GH005,Twi,62914,64010,1096
GH005,English,64010,66740,2730
GH005,Twi,66860,67348,488
GH005,English,67348,67882,534
GH005,Twi,67882,75670,7788
GH005,English,75670,76366,696
GH005,Twi,76366,76793,427
GH005,English,76793,77738,945
GH005,Twi,77738,79313,1575
GH005,Twi,80069,81897,1828
GH005,Twi,82442,83919,1477
GH005,Twi,84432,84761,329
GH005,English,84761,85661,900
GH005,Twi,85661,87170,1509
GH005,Twi,87720,88134,414
GH005,Twi,89139,89733,594
GH005,Twi,90715,92510,1795
GH005,Twi,93546,95559,2013
GH005,English,95559,97013,1454
GH005,Twi,97013,97055,42
GH005,English,97055,98350,1295
GH005,Twi,98350,100050,1700
GH005,English,100050,100410,360
GH005,Twi,100410,104730,4320
GH005,English,104730,105080,350
GH005,Twi,105080,105180,100
GH005,Twi,105718,106967,1249
GH005,Twi,107547,107820,273
GH005,Twi,108448,108630,182
GH005,English,108630,109288,658
GH005,Twi,109288,110835,1547
GH005,Twi,111274,111282,8
GH005,English,111282,112114,832
GH005,Twi,112457,116676,4219
GH005,Twi,117369,118901,1532
GH005,Twi,119367,121109,1742
GH005,Twi,121847,122427,580
GH005,Twi,123043,123950,907
GH006,Twi,810,1201,391
GH006,English,1773,12500,10727
GH006,Twi,13115,15618,2503
GH006,Twi,16156,21716,5560
GH006,Twi,22192,26436,4244
GH006,Twi,26914,27850,936
GH006,Twi,28292,29387,1095
GH006,Twi,30009,30821,812
GH006,Twi,31985,32379,394
GH006,English,34480,35352,872
GH006,Twi,35571,37452,1881
GH006,English,37452,37990,538
GH006,Twi,37990,43486,5496
GH006,English,43486,43940,454
GH006,Twi,43940,45703,1763
GH006,Twi,46434,48212,1778
GH006,English,48212,48730,518
GH006,Twi,48730,49835,1105
GH006,English,49835,50346,511
GH006,Twi,50346,56277,5931
GH006,English,56277,56792,515
GH006,Twi,56792,57860,1068
GH006,English,57860,60305,2445
GH006,Twi,60305,60661,356
GH006,Twi,61204,61462,258
GH006,English,61462,64620,3158
GH006,Twi,64620,64717,97
GH006,Twi,65540,65690,150
GH006,English,65690,66187,497
GH006,Twi,66654,66790,136
GH006,English,66790,67100,310
GH006,Twi,67100,69946,2846
GH006,English,69946,71475,1529
GH006,Twi,71475,71552,77
GH006,English,71552,72496,944
GH006,Twi,72496,76353,3857
GH006,English,76353,79181,2828
GH006,English,79265,82951,3686
GH006,English,82951,86251,3300
GH006,Twi,86251,90181,3930
GH006,Twi,91006,91511,505
GH006,English,91511,94086,2575
GH006,Twi,94086,96732,2646
GH006,English,96732,97526,794
