file,ann_id,start_ms,end_ms,dur_ms,label
GH010,a141,28118,30797,2679,English
GH010,a142,33954,43693,9739,English
GH010,a143,45826,54094,8268,English
GH010,a144,55911,61408,5497,English
GH010,a145,64934,68848,3914,English
GH010,a146,75804,76594,790,English
GH010,a147,77483,78227,744,English
GH010,a148,82912,85142,2230,English
GH010,a149,85161,87401,2240,English
GH010,a150,94490,94959,469,English
GH010,a151,97080,98263,1183,English
GH010,a152,98300,98670,370,English
GH010,a153,100411,100864,453,English
GH010,a154,101804,105207,3403,English
GH010,a155,110844,112472,1628,English
GH010,a156,115609,116996,1387,English
GH010,a157,130150,134450,4300,English
GH010,a158,134503,135883,1380,English
GH010,a159,136440,136890,450,English
GH010,a160,148040,152500,4460,English
GH010,a161,152561,155981,3420,English
GH010,a162,157057,157230,173,English
GH010,a163,163228,164467,1239,English
GH010,a164,165894,173790,7896,English
GH010,a165,174929,175388,459,English
GH010,a166,195422,197862,2440,English
GH010,a167,201360,201760,400,English
GH010,a168,205737,206522,785,English
GH010,a169,210270,213310,3040,English
GH010,a170,213915,214750,835,English
GH010,a171,215806,217362,1556,English
GH010,a172,217362,217622,260,English
GH010,a173,218643,221613,2970,English
GH010,a174,224082,224680,598,English
GH010,a175,225540,226180,640,English
GH010,a176,230005,230670,665,English
GH010,a177,246480,249448,2968,English
GH010,a178,251378,260114,8736,English
GH010,a179,265570,267592,2022,English
GH010,a180,275489,275822,333,English
GH010,a181,284307,288691,4384,English
GH010,a182,289218,289895,677,English
GH010,a183,289895,290560,665,English
GH010,a184,301625,306680,5055,English
GH010,a185,307614,307812,198,English
GH010,a186,309420,313290,3870,English
GH010,a187,313328,314180,852,English
GH010,a188,318728,319277,549,English
GH010,a189,322214,331980,9766,English
GH010,a190,334085,335921,1836,English
GH010,a191,339210,345260,6050,English
GH010,a192,347555,348063,508,English
GH010,a193,352371,358332,5961,English
GH010,a194,361028,362489,1461,English
GH010,a195,363939,365407,1468,English
GH010,a196,372406,374385,1979,English
GH010,a197,378330,381624,3294,English
GH010,a198,384211,384687,476,English
GH010,a199,384691,385084,393,English
GH010,a200,385951,387062,1111,English
GH010,a201,393786,396814,3028,English
GH010,a202,399373,400003,630,English
GH010,a203,400026,400816,790,English
GH010,a204,401176,407042,5866,English
GH010,a205,413271,418099,4828,English
GH010,a206,418394,418730,336,English
GH010,a207,426239,431020,4781,English
GH010,a208,434409,435703,1294,English
GH010,a209,438082,439870,1788,English
GH010,a210,441176,441900,724,English
GH010,a211,442947,445102,2155,English
GH010,a212,457629,460659,3030,English
GH010,a213,461843,463921,2078,English
GH010,a214,466230,472624,6394,English
GH010,a215,479192,482986,3794,English
GH010,a216,484216,488415,4199,English
GH010,a217,490422,491032,610,English
GH010,a218,504414,504969,555,English
GH010,a219,505581,505960,379,English
GH010,a220,506994,512302,5308,English
GH010,a221,512885,513688,803,English
GH011,a76,0,4140,4140,English
GH011,a77,7435,8353,918,English
GH011,a78,9954,11739,1785,English
GH011,a79,12219,14463,2244,English
GH011,a80,20730,21282,552,English
GH011,a81,24718,30213,5495,English
GH011,a82,30545,31889,1344,English
GH011,a83,36236,36987,751,English
GH011,a84,37660,38743,1083,English
GH011,a85,39922,41412,1490,English
GH011,a86,43821,50193,6372,English
GH011,a87,55427,57676,2249,English
GH011,a88,59153,65225,6072,English
GH011,a89,66616,71051,4435,English
GH011,a90,74529,74883,354,English
GH011,a91,76547,77640,1093,English
GH011,a92,83271,91984,8713,English
GH011,a93,93380,94588,1208,English
GH011,a94,101714,110050,8336,English
GH011,a95,112326,112506,180,English
GH011,a96,113397,114117,720,English
GH011,a97,117519,118753,1234,English
GH011,a98,119030,119830,800,English
GH011,a99,124212,125148,936,English
GH011,a100,125270,130005,4735,English
GH011,a101,131194,131997,803,English
GH011,a102,133938,134854,916,English
GH011,a103,135307,136581,1274,English
GH011,a104,141915,142344,429,English
GH011,a105,142645,143157,512,English
GH011,a106,143800,144180,380,English
GH011,a107,146670,147190,520,English
GH011,a108,149023,154220,5197,English
GH011,a109,167614,168154,540,English
GH011,a110,191962,193919,1957,English
GH011,a111,194279,195916,1637,English
GH011,a112,201599,202153,554,English
GH011,a113,207387,209237,1850,English
GH011,a114,211963,220214,8251,English
GH011,a115,223014,224078,1064,English
GH011,a116,229465,230019,554,English
GH011,a117,232780,233120,340,English
GH011,a118,233520,234214,694,English
GH011,a119,235706,236353,647,English
GH011,a120,237024,237583,559,English
GH011,a121,243211,246377,3166,English
GH011,a122,264075,266806,2731,English
GH011,a123,272480,273080,600,English
GH011,a124,276179,276560,381,English
GH011,a125,277960,278400,440,English
GH011,a126,280090,280990,900,English
GH011,a127,292331,294283,1952,English
GH011,a128,294937,296509,1572,English
GH011,a129,297228,303934,6706,English
GH011,a130,305882,307087,1205,English
GH011,a131,307977,308247,270,English
GH011,a132,311869,313550,1681,English
GH011,a133,315617,316734,1117,English
GH011,a134,321366,321986,620,English
GH011,a135,326358,327020,662,English
GH011,a136,331105,332977,1872,English
GH011,a137,334251,338270,4019,English
GH011,a138,345048,346318,1270,English
GH011,a139,347036,347765,729,English
GH011,a140,362372,374423,12051,English
GH011,a141,375818,376824,1006,English
GH011,a142,381751,383251,1500,English
GH011,a143,385430,386833,1403,English
GH011,a144,387519,387972,453,English
GH011,a145,418408,420788,2380,English
GH011,a146,446490,447367,877,English
GH011,a147,453405,453975,570,English
GH011,a148,462846,464802,1956,English
