file,start_ms,end_ms,dur_ms
GH009,290750,291483,732
GH009,292702,293567,865
GH009,295339,296136,797
GH009,302154,303071,917
GH009,305454,305853,399
GH009,309134,309457,323
GH009,312045,312597,552
GH009,312682,313034,353
GH009,314278,315352,1075
GH009,315878,316702,824
GH009,317381,318635,1255
GH009,320277,321055,778
GH009,325403,326501,1098
GH009,326501,327737,1236
GH009,327754,329225,1471
GH009,330390,330703,313
GH009,332713,333216,503
GH009,333236,333634,398
GH009,336736,337292,556
GH009,341624,341929,305
GH009,343125,343538,413
GH009,344336,345641,1305
GH009,345682,346134,452
GH009,346482,346984,503
GH009,347321,348032,711
GH009,348051,349347,1296
GH009,350165,350733,568
GH009,351887,354130,2243
GH009,355248,356223,974
GH009,357386,359403,2017
GH009,360859,364113,3254
GH009,365205,367091,1886
GH009,368918,369903,985
GH009,371355,371915,559
GH009,372652,374116,1464
GH009,374732,377248,2516
GH009,377248,378728,1480
GH009,379376,379929,553
GH009,380438,380903,465
GH009,382050,382997,948
GH009,383030,385201,2171
GH009,386966,390228,3262
GH009,390714,391157,444
GH009,392433,392908,476
GH009,395307,397349,2042
GH009,399793,401166,1373
GH009,404083,404391,307
GH009,405295,406201,906
GH009,407689,408270,581
GH009,409083,409516,433
GH009,411674,412143,468
GH009,413145,414828,1683
GH009,414875,416208,1333
GH009,416430,417029,599
GH009,417671,419432,1761
GH009,420385,420888,503
GH009,421634,422209,575
GH009,423679,424493,814
GH009,425432,428737,3305
GH009,431049,432434,1385
GH009,434093,434692,599
GH009,435793,436595,802
GH009,437618,439467,1849
GH009,440691,441715,1024
GH009,443167,444038,871
GH009,445994,446689,694
GH009,450568,451307,738
GH009,454035,454413,378
GH009,456951,457764,813
GH009,458261,461938,3676
GH009,462689,463105,416
GH009,466527,468692,2165
GH009,472202,472991,790
GH009,476934,477302,368
GH009,481083,481485,402
GH009,487645,488076,431
GH009,488076,488544,468
GH009,491540,492025,485
GH009,495056,496701,1645
GH009,500391,500754,362
GH009,501871,505689,3818
GH009,505990,506803,812
GH009,508797,509163,366
GH009,511064,513110,2046
GH009,514823,518124,3301
GH009,518753,519073,320
GH009,520749,524561,3812
GH009,524561,525128,567
GH009,527850,528495,645
GH009,529997,531254,1257
GH009,532320,532905,584
GH009,533628,534043,416
GH009,535530,536531,1000
GH009,536539,537208,670
GH009,538383,539104,722
GH009,539112,539956,844
GH009,540227,540822,595
GH009,541506,543669,2163
GH009,543670,544598,928
GH009,545910,546382,472
GH009,548614,549470,857
GH009,553505,553999,494
GH009,555493,556610,1117
GH009,556659,557098,440
GH009,557902,558244,342
GH009,561623,562505,882
GH009,568426,568910,484
GH009,569759,571554,1795
GH009,572983,573930,947
GH009,573977,574797,820
GH009,574850,575611,761
GH009,575625,576345,720
GH009,579923,581000,1077
GH009,590499,591472,973
GH009,591475,592087,612
GH009,592087,595208,3120
GH009,595222,595917,696
GH009,596161,596920,760
GH009,596933,597716,783
GH009,597731,599907,2175
GH010,2957,3363,406
GH010,5032,5615,584
GH010,9798,10253,455
GH010,10606,11017,412
GH010,14484,14802,318
GH010,15708,16109,401
GH010,19623,20050,426
GH010,22455,22856,401
GH010,26069,26578,509
GH010,29893,30402,509
GH010,32331,33376,1045
GH010,37146,37717,571
GH010,40937,41633,695
GH010,45299,45791,493
GH010,47207,47782,574
GH010,50545,51443,898
GH010,53958,54546,588
GH010,57580,58064,484
GH010,61107,61650,543
GH010,63593,64492,899
GH010,67504,68549,1046
GH010,70361,70791,430
GH010,72877,73285,408
GH010,76893,77598,705
GH010,80621,81018,397
GH010,84799,85385,586
GH010,88636,88937,301
GH010,90435,90859,424
GH010,93073,93540,467
GH010,96227,96675,448
GH010,97868,98338,470
GH010,101459,101861,403
GH010,103902,104399,497
GH010,106716,107106,390
GH010,110472,110799,327
GH010,112407,113207,800
GH010,121849,122180,331
GH010,123051,124412,1360
GH010,127100,128374,1275
GH010,131315,131763,448
GH010,132894,133733,839
GH010,135654,135987,333
GH010,138084,138449,365
GH010,140066,140829,763
GH010,143949,144252,303
GH010,147202,147914,712
GH010,149631,150018,387
GH010,151838,152617,779
GH010,155539,156442,903
GH010,157807,158236,429
GH010,159172,159505,333
GH010,162802,163480,677
GH010,165202,165928,726
GH010,167725,168042,317
GH010,170190,170494,303
GH010,173512,174327,816
GH010,175524,175851,327
GH010,181631,182038,407
GH010,184275,184727,452
GH010,187775,188128,353
GH010,188873,189643,770
GH010,191166,191565,399
GH010,194595,195438,844
GH010,197396,198147,751
GH010,199400,200231,831
GH010,200653,201056,403
GH010,204532,204872,340
GH010,206256,206897,641
GH010,212454,212929,475
GH010,215190,215651,461
GH010,218616,219057,441
GH010,223619,223979,360
GH010,227888,228224,336
GH010,229367,229817,449
GH010,232315,232863,548
GH010,234053,235246,1193
GH010,239079,240217,1138
GH010,245719,246045,327
GH010,249211,251292,2080
GH010,261449,263439,1991
GH010,263796,264216,420
GH010,267275,268590,1315
GH010,273898,274307,409
GH010,274973,275466,492
GH010,278251,279340,1089
GH010,280657,281447,791
GH010,283253,284152,899
GH010,288532,288872,339
GH010,292718,293184,467
GH010,296064,296916,852
GH010,299117,299489,372
GH010,300978,301854,876
GH010,306324,307570,1245
GH010,312811,313516,705
GH010,315449,316911,1462
GH010,317253,317770,518
GH010,319017,319477,460
GH010,324287,324677,389
GH010,327946,328357,410
GH010,329582,330579,997
GH010,332983,333360,377
GH010,335852,337402,1549
GH010,340950,341589,639
GH010,345210,346341,1131
GH010,349116,350058,941
GH010,354019,355137,1118
GH010,357589,358504,915
GH010,360384,361416,1031
GH010,366731,367145,414
GH010,374108,374599,490
GH010,378211,378557,345
GH010,381273,382436,1163
GH010,383781,384110,330
GH010,386948,387308,360
GH010,389334,390243,909
GH010,392028,393356,1328
GH010,396614,397849,1235
GH010,404810,405134,324
GH010,407018,407428,410
GH010,408067,408381,313
GH010,409377,409905,528
GH010,411515,412024,508
GH010,413497,413881,385
GH010,415258,415584,326
GH010,419397,419876,479
GH010,422560,423031,471
GH010,425365,425713,348
GH010,428345,428782,437
GH010,429786,430310,524
GH010,434355,434699,343
GH010,436906,437428,522
GH010,439650,440441,791
GH010,445152,445656,504
GH010,445777,446494,717
GH010,448359,450705,2346
GH010,454950,455500,550
GH010,462103,462517,414
GH010,471589,471940,351
GH010,472383,472901,518
GH010,478529,479189,661
GH010,481178,481574,396
GH010,488285,488671,386
GH010,490261,490614,353
GH010,492957,493385,427
GH010,496238,496566,328
GH010,497268,497712,444
GH010,504997,505636,639
GH010,506492,507013,521
GH010,509717,510070,353
GH010,510790,511242,452
GH010,513695,514282,587
GH010,515824,516930,1106
GH010,516977,517435,458
GH011,3375,3713,338
GH011,8173,10121,1949
GH011,11438,11814,376
GH011,14140,16193,2053
GH011,21619,22360,741
GH011,23213,24489,1276
GH011,26979,27709,730
GH011,32870,35904,3034
GH011,40927,42907,1980
GH011,46449,46900,452
GH011,49739,50752,1014
GH011,52002,52405,404
GH011,57299,59149,1850
GH011,64843,66526,1683
GH011,77822,83794,5972
GH011,87271,88221,950
GH011,89923,91045,1122
GH011,95287,95956,669
GH011,98692,100786,2094
GH011,103400,103778,378
GH011,105705,106456,752
GH011,107711,108076,365
GH011,111292,111646,354
GH011,115945,116959,1014
GH011,119958,123449,3490
GH011,126584,127328,745
GH011,129591,130936,1345
GH011,138767,140739,1972
GH011,143123,143517,394
GH011,147513,149070,1556
GH011,158581,161956,3375
GH011,164790,166393,1602
GH011,170530,175410,4880
GH011,176940,178080,1140
GH011,182018,183115,1098
GH011,185549,186610,1061
GH011,193264,193971,707
GH011,196377,197273,896
GH011,199265,199797,532
GH011,204992,207385,2393
GH011,219755,220493,738
GH011,221160,222719,1560
GH011,226168,229245,3077
GH011,241034,242477,1442
GH011,249200,249501,301
GH011,250522,252581,2059
GH011,253557,253898,341
GH011,255044,255469,424
GH011,258072,258592,519
GH011,261099,261637,538
GH011,262578,264228,1650
GH011,269890,272288,2398
GH011,285047,287151,2105
GH011,290362,291741,1379
GH011,293607,295170,1563
GH011,298705,299614,910
GH011,300835,301353,518
GH011,303315,305574,2259
GH011,308933,309506,573
GH011,317270,317777,507
GH011,318297,320550,2253
GH011,322089,322882,792
GH011,323881,324351,470
GH011,326044,326394,350
GH011,329368,329832,464
GH011,330467,331193,726
GH011,332597,334017,1420
GH011,336542,336868,326
GH011,338024,338573,549
GH011,340148,340661,513
GH011,342975,345430,2455
GH011,350901,351344,443
GH011,355166,355589,423
GH011,356389,356862,473
GH011,357872,359019,1146
GH011,363445,363914,468
GH011,365966,366459,492
GH011,369151,369685,534
GH011,371326,371808,482
GH011,373470,375313,1843
GH011,376581,377645,1064
GH011,379898,380629,730
GH011,382960,383570,610
GH011,384043,384776,733
GH011,386321,386958,638
GH011,389352,389962,610
GH011,397530,400553,3022
GH011,402392,404521,2129
GH011,405165,406518,1353
GH011,407626,408260,634
GH011,415159,415461,302
GH011,417057,417364,307
GH011,421925,422266,341
GH011,425455,425866,411
GH011,427157,428438,1281
GH011,432338,433149,811
GH011,433682,435461,1778
GH011,439236,439782,546
GH011,442537,443065,528
GH011,444238,444574,336
GH011,445760,446102,342
GH011,447086,447661,575
GH011,449424,451155,1731
GH011,451454,452648,1195
GH011,453191,453526,336
GH011,455877,456959,1082
GH011,458918,461271,2353
