file,gesture_id,gesture_time_ms,gesture_type,pitch_time_ms,pitch_hz,time_diff_ms
GH007,a44,156257,iconic,156301,286.3506446856284,-44
GH007,a45,157792,beat,157831,175.76820508787546,-39
GH007,a46,164166,deictic,164191,220.19220457656672,-25
GH007,a47,166510,iconic,166591,184.61174624779454,-81
GH007,a48,170683,iconic,170691,287.0427189173572,-8
GH007,a49,172020,iconic,172301,265.05964261985633,-281
GH007,a50,175920,beat,175861,165.63156498875136,59
GH007,a51,176625,beat,176591,167.93980005214243,34
GH007,a52,180585,iconic,180541,128.41288775211336,44
GH007,a53,183370,beat,182981,140.55311250593613,389
GH007,a54,185397,beat,185381,299.7816936206267,16
GH007,a55,186844,iconic,186831,170.19584605846862,13
GH007,a56,188423,iconic,188361,242.7065239416344,62
GH007,a57,190553,iconic,190561,238.15184451160687,-8
GH007,a58,191907,iconic,191901,233.2190979338898,6
GH007,a59,193349,beat,193681,194.5771718317569,-332
GH007,a60,197170,iconic,197171,187.96843352808244,-1
GH007,a61,198020,beat,198031,191.48085580913553,-11
GH007,a62,199435,beat,199511,187.00289888535556,-76
GH007,a63,202910,beat,203101,263.2986573282483,-191
GH007,a64,207108,beat,207111,289.0318543247695,-3
GH007,a65,212913,beat,212901,291.1731969866372,12
GH007,a66,216547,beat,216851,168.24242802884734,-304
GH007,a67,219240,beat,219251,195.06734497387083,-11
GH007,a68,224515,beat,224231,141.31639016480275,284
GH007,a69,230686,beat,230671,198.1657291466502,15
GH007,a70,235004,beat,234951,198.27861845045646,53
GH007,a71,236522,beat,236521,196.40718539746342,1
GH007,a72,237759,iconic,237881,185.31711496489987,-122
GH007,a73,240195,iconic,240011,156.91305771874667,184
GH007,a74,243458,beat,243541,199.85915476358701,-83
GH007,a75,246975,beat,247201,174.92362754328093,-226
GH007,a76,263400,deictic,263431,297.51205191643504,-31
GH007,a77,265465,beat,265491,249.02393727963812,-26
GH007,a78,271140,beat,271241,243.3345740554428,-101
GH007,a79,272833,beat,272931,231.33647586521042,-98
GH007,a80,275200,beat,275191,292.25726788480955,9
GH007,a81,279525,beat,279781,166.74642687357596,-256
GH007,a82,283249,deictic,283281,190.0022441137928,-32
GH008,a1,1810,iconic,2042,209.751164666787,-232
GH008,a2,7036,beat,7132,227.69482023672555,-96
GH008,a3,10678,beat,10652,151.10403829515838,26
GH008,a4,14878,beat,15062,149.94186566587024,-184
GH008,a5,18779,beat,18532,165.77858182627924,247
GH008,a6,26319,beat,27392,177.38287112453648,-1073
GH008,a7,35239,beat,35702,183.76124817916448,-463
GH008,a8,41941,beat,41972,146.7995235899965,-31
GH008,a9,45909,beat,45922,293.3273780959164,-13
GH008,a10,50483,beat,50442,179.37700265346996,41
