file,switch_time_ms,direction
GH008,581590,English_to_Twi
GH008,585220,Twi_to_English
GH008,587990,English_to_Twi
GH008,589441,Twi_to_English
GH008,590430,English_to_Twi
GH008,591244,Twi_to_English
GH008,592010,English_to_Twi
GH008,593105,Twi_to_English
GH008,599838,English_to_Twi
GH009,862,English_to_Twi
GH009,1960,Twi_to_English
GH009,2350,English_to_Twi
GH009,3740,Twi_to_English
GH009,4239,English_to_Twi
GH009,22303,Twi_to_English
GH009,23582,English_to_Twi
GH009,28191,Twi_to_English
GH009,34707,English_to_Twi
GH009,36656,Twi_to_English
GH009,66540,English_to_Twi
GH009,75919,Twi_to_English
GH009,79013,English_to_Twi
GH009,93490,Twi_to_English
GH009,95130,English_to_Twi
GH009,97460,Twi_to_English
GH009,97970,English_to_Twi
GH009,102370,Twi_to_English
GH009,104743,English_to_Twi
GH009,107586,Twi_to_English
GH009,114131,English_to_Twi
GH009,114340,Twi_to_English
GH009,114960,English_to_Twi
GH009,122931,Twi_to_English
GH009,130891,English_to_Twi
GH009,137090,Twi_to_English
GH009,137800,English_to_Twi
GH009,181500,Twi_to_English
GH009,182180,English_to_Twi
GH009,184367,Twi_to_English
GH009,184946,English_to_Twi
GH009,222237,Twi_to_English
GH009,223280,English_to_Twi
GH009,225070,Twi_to_English
GH009,226036,English_to_Twi
GH009,226092,Twi_to_English
GH009,227490,English_to_Twi
GH009,228128,Twi_to_English
GH009,230491,English_to_Twi
GH009,231762,Twi_to_English
GH009,232550,English_to_Twi
GH009,234430,Twi_to_English
GH009,235220,English_to_Twi
GH009,237878,Twi_to_English
GH009,239202,English_to_Twi
GH009,242083,Twi_to_English
GH009,248026,English_to_Twi
GH009,255202,Twi_to_English
GH009,256491,English_to_Twi
GH009,263551,Twi_to_English
GH009,264461,English_to_Twi
GH009,267090,Twi_to_English
GH009,270890,English_to_Twi
GH009,286004,Twi_to_English
GH009,286670,English_to_Twi
GH009,306700,Twi_to_English
GH009,307100,English_to_Twi
GH009,330669,Twi_to_English
GH009,333684,English_to_Twi
GH009,359310,Twi_to_English
GH009,359690,English_to_Twi
GH009,391100,Twi_to_English
GH009,391560,English_to_Twi
GH009,397500,Twi_to_English
GH009,398040,English_to_Twi
GH009,398439,Twi_to_English
GH009,398880,English_to_Twi
GH009,399171,Twi_to_English
GH009,401216,English_to_Twi
GH009,404096,Twi_to_English
GH009,404930,English_to_Twi
GH009,440177,Twi_to_English
GH009,454463,English_to_Twi
GH009,457472,Twi_to_English
GH009,461988,English_to_Twi
GH009,544550,Twi_to_English
GH009,554049,English_to_Twi
GH009,568030,Twi_to_English
GH009,568960,English_to_Twi
GH009,575912,Twi_to_English
GH009,576870,English_to_Twi
GH010,8049,English_to_Twi
GH010,10078,Twi_to_English
GH010,17220,English_to_Twi
GH010,19867,Twi_to_English
GH010,21752,English_to_Twi
GH010,24364,Twi_to_English
GH010,27507,English_to_Twi
GH010,28118,Twi_to_English
GH010,30797,English_to_Twi
GH010,33954,Twi_to_English
GH010,43693,English_to_Twi
GH010,45826,Twi_to_English
GH010,54596,English_to_Twi
GH010,55911,Twi_to_English
GH010,61700,English_to_Twi
GH010,64934,Twi_to_English
GH010,68848,English_to_Twi
GH010,75804,Twi_to_English
GH010,76594,English_to_Twi
GH010,77483,Twi_to_English
GH010,78227,English_to_Twi
GH010,82912,Twi_to_English
GH010,87401,English_to_Twi
GH010,94490,Twi_to_English
GH010,94959,English_to_Twi
GH010,97080,Twi_to_English
GH010,98670,English_to_Twi
GH010,100411,Twi_to_English
GH010,100864,English_to_Twi
GH010,101804,Twi_to_English
GH010,105207,English_to_Twi
GH010,110844,Twi_to_English
GH010,113257,English_to_Twi
GH010,115609,Twi_to_English
GH010,116996,English_to_Twi
GH010,130150,Twi_to_English
GH010,134450,English_to_Twi
GH010,134503,Twi_to_English
GH010,136037,English_to_Twi
GH010,136440,Twi_to_English
GH010,136890,English_to_Twi
GH010,148040,Twi_to_English
GH010,156492,English_to_Twi
GH010,157057,Twi_to_English
GH010,157230,English_to_Twi
GH010,163228,Twi_to_English
GH010,164467,English_to_Twi
GH010,165894,Twi_to_English
GH010,174377,English_to_Twi
GH010,174929,Twi_to_English
GH010,175388,English_to_Twi
GH010,195422,Twi_to_English
GH010,198197,English_to_Twi
GH010,201360,Twi_to_English
